,player_height,player_name,team_conference,team_name,player_height_in
1304,5-10,Todd Eaglin,Conference USA,North Texas,70
1305,6-1,J-Mychal Reese,Conference USA,North Texas,73
1306,5-10,DJ Draper,Conference USA,North Texas,70
1307,6-8,Cameron Oliver,Mountain West Conference,Nevada,80
1308,6-4,Marqueze Coleman,Mountain West Conference,Nevada,76
1309,6-3,Tyron Criswell,Mountain West Conference,Nevada,75
1310,6-9,AJ West,Mountain West Conference,Nevada,81
1311,6-1,Juwan Anderson,Mountain West Conference,Nevada,73
1312,6-11,Chris Brown,Mountain West Conference,Nevada,83
1313,6-9,Kaileb Rodriguez,Mountain West Conference,Nevada,81
1314,6-3,Marcus Marshall,Mountain West Conference,Nevada,75
1315,6-7,Elijah Foster,Mountain West Conference,Nevada,79
1316,6-4,Lindsey Drew,Mountain West Conference,Nevada,76
1317,6-6,D.J. Fenner,Mountain West Conference,Nevada,78
1318,6-9,Robyn Missa,Mountain West Conference,Nevada,81
1319,6-3,Eric Cooper Jr,Mountain West Conference,Nevada,75
1320,6-7,Jordan Caroline,Mountain West Conference,Nevada,79
1321,6-11,Lucas Stivrins,Mountain West Conference,Nevada,83
1322,6-8,Nick Banyard,Missouri Valley Conference,Illinois State,80
1323,6-0,Paris Lee,Missouri Valley Conference,Illinois State,72
1324,6-8,Quintin Brewer,Missouri Valley Conference,Illinois State,80
1325,6-0,Keyshawn Evans,Missouri Valley Conference,Illinois State,72
1326,6-11,Daouda Ndiaye,Missouri Valley Conference,Illinois State,83
1327,6-3,Matt Hein,Missouri Valley Conference,Illinois State,75
1328,6-7,MiKyle McIntosh,Missouri Valley Conference,Illinois State,79
1329,6-3,Tony Wills,Missouri Valley Conference,Illinois State,75
1330,6-4,Justin McCloud,Missouri Valley Conference,Illinois State,76
1331,6-8,Elvis Harvey,Missouri Valley Conference,Illinois State,80
1332,6-8,Deontae Hawkins,Missouri Valley Conference,Illinois State,80
1333,6-4,Javaka Thompson,Missouri Valley Conference,Illinois State,76
1334,6-7,Roland Griffin,Missouri Valley Conference,Illinois State,79
1335,6-5,DeVaughn Akoon-Purcell,Missouri Valley Conference,Illinois State,77
1336,6-2,Kevin Baker,Missouri Valley Conference,Missouri State,74
1337,6-6,Robin Thompson,Missouri Valley Conference,Missouri State,78
1338,6-3,Austin Ruder,Missouri Valley Conference,Missouri State,75
1339,6-5,Loomis Gerring,Missouri Valley Conference,Missouri State,77
1340,5-10,Dequon Miller,Missouri Valley Conference,Missouri State,70
1341,6-8,Obediah Church,Missouri Valley Conference,Missouri State,80
1342,6-3,Jarred Dixon,Missouri Valley Conference,Missouri State,75
1343,6-3,Ryan Kreklow,Missouri Valley Conference,Missouri State,75
1344,6-3,Dorrian Williams,Missouri Valley Conference,Missouri State,75
1345,6-0,Shawn Roundtree,Missouri Valley Conference,Missouri State,72
1346,6-8,Jordan Martin,Missouri Valley Conference,Missouri State,80
1347,6-6,Camyn Boone,Missouri Valley Conference,Missouri State,78
1348,6-5,Chris Kendrix,Missouri Valley Conference,Missouri State,77
1349,6-11,Tyler McCullough,Missouri Valley Conference,Missouri State,83
1350,6-9,Sean Tingle,Southwestern Athletic Conference,AR-Pine Bluff,81
1351,6-0,Marcel Mosley,Southwestern Athletic Conference,AR-Pine Bluff,72
1352,6-6,Thaddeus Handley,Southwestern Athletic Conference,AR-Pine Bluff,78
1353,6-3,DeAndre McIntyre,Southwestern Athletic Conference,AR-Pine Bluff,75
1354,6-6,Jaylon Floyd,Southwestern Athletic Conference,AR-Pine Bluff,78
1355,6-4,Austin Cox,Southwestern Athletic Conference,AR-Pine Bluff,76
1356,6-0,Tevin Hammond,Southwestern Athletic Conference,AR-Pine Bluff,72
1357,6-7,Trent Whiting,Southwestern Athletic Conference,AR-Pine Bluff,79
1358,6-2,Larry Johnson,Southwestern Athletic Conference,AR-Pine Bluff,74
1359,6-9,Jovaughn Love,Southwestern Athletic Conference,AR-Pine Bluff,81
1360,6-3,Ghiavonni Robinson,Southwestern Athletic Conference,AR-Pine Bluff,75
1361,6-8,Chauncy Parker,Southwestern Athletic Conference,AR-Pine Bluff,80
1362,6-4,Jordan Brown,Southwestern Athletic Conference,AR-Pine Bluff,76
1363,6-7,Devin Berry,Southwestern Athletic Conference,AR-Pine Bluff,79
1364,5-11,Jared Young,Southwestern Athletic Conference,AR-Pine Bluff,71
1365,6-10,David Tillman,Southwestern Athletic Conference,AR-Pine Bluff,82
1366,6-2,Ryan Andino,Mid-Eastern Athletic Conference,MD-E Shore,74
1367,6-4,Marc Seylan,Mid-Eastern Athletic Conference,MD-E Shore,76
1368,5-11,Thomas Rivera,Mid-Eastern Athletic Conference,MD-E Shore,71
1369,5-9,Mark Blackmon,Mid-Eastern Athletic Conference,MD-E Shore,69
1370,6-4,Devin Martin,Mid-Eastern Athletic Conference,MD-E Shore,76
1371,6-6,Stephen Spurlock,Mid-Eastern Athletic Conference,MD-E Shore,78
1372,6-1,Maurice Coleman,Mid-Eastern Athletic Conference,MD-E Shore,73
1373,6-0,Ahmad Frost,Mid-Eastern Athletic Conference,MD-E Shore,72
1374,6-5,Shane Randall,Mid-Eastern Athletic Conference,MD-E Shore,77
1375,6-1,Isaac Sutton,Mid-Eastern Athletic Conference,MD-E Shore,73
1376,6-5,Dontae Caldwell,Mid-Eastern Athletic Conference,MD-E Shore,77
1377,6-6,Bakari Copeland,Mid-Eastern Athletic Conference,MD-E Shore,78
1378,6-7,Derrico Peck,Mid-Eastern Athletic Conference,MD-E Shore,79
1379,6-8,Joshu'a Warren,Mid-Eastern Athletic Conference,MD-E Shore,80
1380,6-8,Dominique Elliott,Mid-Eastern Athletic Conference,MD-E Shore,80
1381,6-8,Isaac Taylor,Mid-Eastern Athletic Conference,MD-E Shore,80
1382,6-2,Kyree Jones,Mid-Eastern Athletic Conference,MD-E Shore,74
1383,6-4,Remond Brown,Southwestern Athletic Conference,Grambling St,76
1384,6-6,A'Torri Shine,Southwestern Athletic Conference,Grambling St,78
1385,6-7,Richard Freeman,Southwestern Athletic Conference,Grambling St,79
1386,6-6,Telvin Marshall,Southwestern Athletic Conference,Grambling St,78
1387,6-9,Lonnie McElwain,Southwestern Athletic Conference,Grambling St,81
1388,6-5,Jefkins Agyeman-Budu,Southwestern Athletic Conference,Grambling St,77
1389,6-1,Chase Cormier,Southwestern Athletic Conference,Grambling St,73
1390,6-2,Valerio Altheimer,Southwestern Athletic Conference,Grambling St,74
1391,6-9,Kyle Williams,Southwestern Athletic Conference,Grambling St,81
1392,6-1,Reginald Smith,Southwestern Athletic Conference,Grambling St,73
1393,6-1,Isiah Patterson,Southwestern Athletic Conference,Grambling St,73
1394,6-7,Mark Gray,Southwestern Athletic Conference,Grambling St,79
1395,6-7,Clayvon Gatlin,Southwestern Athletic Conference,Grambling St,79
1396,6-6,Jason Boswell,Conference USA,FIU,78
1397,6-3,Donte McGill,Conference USA,FIU,75
1398,5-10,Tashawn Desir,Conference USA,FIU,70
1399,6-1,Kimar Williams,Conference USA,FIU,73
1400,6-7,Elmo Stephen,Conference USA,FIU,79
1401,6-9,Hassan Hussein,Conference USA,FIU,81
1402,6-2,Ray Rodriguez,Conference USA,FIU,74
1403,6-2,Eric Nottage,Conference USA,FIU,74
1404,6-11,Adrian Diaz,Conference USA,FIU,83
1405,6-7,Cameron Smith,Conference USA,FIU,79
1406,6-5,Michael Douglas,Conference USA,FIU,77
1407,6-7,Daviyon Draper,Conference USA,FIU,79
1408,7-1,Nate Brown Bull,Conference USA,FIU,85
1409,6-4,Vacha Vaughn,Southwestern Athletic Conference,Miss Valley St,76
1410,6-3,DeAngelo Priar,Southwestern Athletic Conference,Miss Valley St,75
1411,5-10,Jordan Washington,Southwestern Athletic Conference,Miss Valley St,70
1412,6-1,Billy Jackson,Southwestern Athletic Conference,Miss Valley St,73
1413,6-1,Jeffrey Simmons,Southwestern Athletic Conference,Miss Valley St,73
1414,5-10,Tyler Corley,Southwestern Athletic Conference,Miss Valley St,70
1415,6-3,Rakwan Kelly,Southwestern Athletic Conference,Miss Valley St,75
1416,6-3,Cordarius Samples,Southwestern Athletic Conference,Miss Valley St,75
1417,6-7,Charles Bargman,Southwestern Athletic Conference,Miss Valley St,79
1418,6-6,Dwain Whitfield,Southwestern Athletic Conference,Miss Valley St,78
1419,6-8,Braydon Powell,Southwestern Athletic Conference,Miss Valley St,80
1420,6-5,Jalen Pedescleaux,Southwestern Athletic Conference,Miss Valley St,77
1421,6-5,Latrell Love,Southwestern Athletic Conference,Miss Valley St,77
1422,6-4,Isaac Williams,Southwestern Athletic Conference,Miss Valley St,76
1423,6-2,Jurmelle Hall,Southwestern Athletic Conference,Miss Valley St,74
1424,6-8,Ben Milshtein,Southwestern Athletic Conference,Miss Valley St,80
1425,6-3,Jabari Alex,Southwestern Athletic Conference,Miss Valley St,75
1426,6-5,Darryl Wright,Southwestern Athletic Conference,Miss Valley St,77
1427,6-6,Terrell Scruggs,Conference USA,UTSA,78
1428,6-4,J.R. Harris,Conference USA,UTSA,76
1429,6-4,Edwin Olympio,Conference USA,UTSA,76
1430,6-0,Gino Littles,Conference USA,UTSA,72
1431,6-2,Omer Aksu,Conference USA,UTSA,74
1432,6-2,Christian Wilson,Conference USA,UTSA,74
1433,6-3,Austin Karrer,Conference USA,UTSA,75
1434,6-1,Ryan Bowie,Conference USA,UTSA,73
1435,6-10,Lucas O'Brien,Conference USA,UTSA,82
1436,6-8,Garrett Thibodeaux,Conference USA,UTSA,80
1437,6-6,Phillip Jones,Conference USA,UTSA,78
1438,6-7,Nick Allen,Conference USA,UTSA,79
1439,6-10,James Ringholt,Conference USA,UTSA,82
1440,6-8,A.J. Cockrell,Conference USA,UTSA,80
1441,6-4,Nick Billingsley,Conference USA,UTSA,76
1442,6-2,Larry Lewis,Conference USA,UTSA,74
1443,6-7,TreVaughn Wilkerson,America East Conference,Hartford,79
1444,6-3,Jason Dunne,America East Conference,Hartford,75
1445,6-1,Justin Graham,America East Conference,Hartford,73
1446,5-11,Jalen Ross,America East Conference,Hartford,71
1447,6-8,George Blagojevic,America East Conference,Hartford,80
1448,6-3,Cleveland Thomas,America East Conference,Hartford,75
1449,6-8,John Carroll,America East Conference,Hartford,80
1450,6-4,Taylor Dyson,America East Conference,Hartford,76
1451,6-6,Jake Fay,America East Conference,Hartford,78
1452,5-10,J.R. Lynch,America East Conference,Hartford,70
1453,6-9,Dougal Weir,America East Conference,Hartford,81
1454,6-5,Max Twyman,America East Conference,Hartford,77
1455,6-7,Jack Hobbs,America East Conference,Hartford,79
1456,6-5,Mark Plousis,America East Conference,Hartford,77
1457,6-1,Evan Cooper,America East Conference,Hartford,73
1458,6-7,Chuck Ester,Southern Conference,Chattanooga,79
1459,6-1,Greg Pryor,Southern Conference,Chattanooga,73
1460,6-4,Dee Oldham,Southern Conference,Chattanooga,76
1461,6-4,ZaQwaun Matthews,Southern Conference,Chattanooga,76
1462,6-2,Johnathan Burroughs-Cook,Southern Conference,Chattanooga,74
1463,6-10,Justin Tuoyo,Southern Conference,Chattanooga,82
1464,6-3,Peyton Woods,Southern Conference,Chattanooga,75
1465,6-1,K.J. Bates,Southern Conference,Chattanooga,73
1466,6-1,Alex Bran,Southern Conference,Chattanooga,73
1467,6-4,Eric Robertson,Southern Conference,Chattanooga,76
1468,6-6,Duke Ethridge,Southern Conference,Chattanooga,78
1469,6-5,Tre' McLean,Southern Conference,Chattanooga,77
1470,6-5,Casey Jones,Southern Conference,Chattanooga,77
1471,6-9,Jackson White,Southern Conference,Chattanooga,81
1472,7-0,Trey Kalina,Southern Conference,Chattanooga,84
1473,6-3,Anton Gill,Big Ten Conference,Nebraska,75
1474,6-7,Andrew White,Big Ten Conference,Nebraska,79
1475,6-4,Johnny Trueblood,Big Ten Conference,Nebraska,76
1476,6-1,Glynn Watson Jr.,Big Ten Conference,Nebraska,73
1477,6-7,Jack McVeigh,Big Ten Conference,Nebraska,79
1478,6-2,Bakari Evelyn,Big Ten Conference,Nebraska,74
1479,6-8,Michael Jacobson,Big Ten Conference,Nebraska,80
1480,6-7,Nick Fuller,Big Ten Conference,Nebraska,79
1481,6-10,Jake Hammond,Big Ten Conference,Nebraska,82
1482,6-5,B.J. Day,Big Ten Conference,Nebraska,77
1483,6-7,Edward Morrow,Big Ten Conference,Nebraska,79
1484,6-7,Shavon Shields,Big Ten Conference,Nebraska,79
1485,5-9,Benny Parker,Big Ten Conference,Nebraska,69
1486,6-5,Khaliq Ghani,Ivy League,Yale,77
1487,6-6,Anthony Dallier,Ivy League,Yale,78
1488,6-3,Alex Copeland,Ivy League,Yale,75
1489,6-1,Jack Montague,Ivy League,Yale,73
1490,6-7,Eric Anderson,Ivy League,Yale,79
1491,6-1,Makai Mason,Ivy League,Yale,73
1492,6-2,Trey Phills,Ivy League,Yale,74
1493,6-7,Matt Greene,Ivy League,Yale,79
1494,6-5,Nick Victor,Ivy League,Yale,77
1495,6-8,Justin Sears,Ivy League,Yale,80
1496,6-2,Landon Russell,Ivy League,Yale,74
1497,6-5,Aj Edwards,Ivy League,Yale,77
1498,6-7,Blake Reynolds,Ivy League,Yale,79
1499,6-6,Brandon Sherrod,Ivy League,Yale,78
1500,6-6,Eli Lininger,Ivy League,Yale,78
1501,6-9,Sam Downey,Ivy League,Yale,81
1502,6-10,Sem Kroon,Ivy League,Yale,82
1503,5-10,Mike Rodriguez,Missouri Valley Conference,S Illinois,70
1504,5-11,K.C Goodwin,Missouri Valley Conference,S Illinois,71
1505,6-1,Leo Vincent,Missouri Valley Conference,S Illinois,73
1506,6-8,Ibby Djimde,Missouri Valley Conference,S Illinois,80
1507,6-3,Tyler Smithpeters,Missouri Valley Conference,S Illinois,75
1508,5-11,Aaron Siler,Missouri Valley Conference,S Illinois,71
1509,6-8,Austin Weiher,Missouri Valley Conference,S Illinois,80
1510,6-4,Armon Fletcher,Missouri Valley Conference,S Illinois,76
1511,6-7,Bola Olaniyan,Missouri Valley Conference,S Illinois,79
1512,6-2,Anthony Beane,Missouri Valley Conference,S Illinois,74
1513,7-0,Deng Leek,Missouri Valley Conference,S Illinois,84
1514,6-6,Sean O'Brien,Missouri Valley Conference,S Illinois,78
1515,6-9,Rudy Stradnieks,Missouri Valley Conference,S Illinois,81
1516,5-10,Shaun Johnson,Southland Conference,McNeese State,70
1517,6-0,Jamaya Burr,Southland Conference,McNeese State,72
1518,6-0,Keelan Garrett,Southland Conference,McNeese State,72
1519,5-11,Marcus Mathieu,Southland Conference,McNeese State,71
1520,6-7,Craig McFerrin,Southland Conference,McNeese State,79
1521,6-2,Kevin Hardy,Southland Conference,McNeese State,74
1522,6-7,Jordan Wells,Southland Conference,McNeese State,79
1523,6-9,Matthew Moss,Southland Conference,McNeese State,81
1524,6-1,Derrell Joubert,Southland Conference,McNeese State,73
1525,6-5,Lance Potier,Southland Conference,McNeese State,77
1526,6-7,Stephen Ugochukwu,Southland Conference,McNeese State,79
1527,6-5,Desharick Guidry,Southland Conference,McNeese State,77
1528,6-5,Andrija Milovanovic,Southland Conference,McNeese State,77
1529,6-8,Austin Lewis,Southland Conference,McNeese State,80
1530,6-4,Julien Lewis,Mountain West Conference,Fresno State,76
1531,6-6,Jaron Hopkins,Mountain West Conference,Fresno State,78
1532,6-7,Paul Watson,Mountain West Conference,Fresno State,79
1533,6-6,Karachi Edo,Mountain West Conference,Fresno State,78
1534,5-11,Jahmel Taylor,Mountain West Conference,Fresno State,71
1535,6-3,Grant Shell,Mountain West Conference,Fresno State,75
1536,6-1,Cezar Guerrero,Mountain West Conference,Fresno State,73
1537,6-9,Cullen Russo,Mountain West Conference,Fresno State,81
1538,6-2,Lionel Ellison III,Mountain West Conference,Fresno State,74
1539,6-6,Sam Bittner,Mountain West Conference,Fresno State,78
1540,6-4,Marvelle Harris,Mountain West Conference,Fresno State,76
1541,6-9,Torren Jones,Mountain West Conference,Fresno State,81
1542,6-8,Nate Grimes,Mountain West Conference,Fresno State,80
1543,6-9,Terrell Carter II,Mountain West Conference,Fresno State,81
1544,6-2,Kevin Punter,Southeastern Conference,Tennessee,74
1545,6-8,Ray Kasongo,Southeastern Conference,Tennessee,80
1546,6-4,Robert Hubbs III,Southeastern Conference,Tennessee,76
1547,6-4,Armani Moore,Southeastern Conference,Tennessee,76
1548,6-5,Admiral Schofield,Southeastern Conference,Tennessee,77
1549,6-9,Kyle Alexander,Southeastern Conference,Tennessee,81
1550,6-1,Detrick Mostella,Southeastern Conference,Tennessee,73
1551,6-5,Jabari McGhee,Southeastern Conference,Tennessee,77
1552,6-7,Derek Reese,Southeastern Conference,Tennessee,79
1553,6-2,Shembari Phillips,Southeastern Conference,Tennessee,74
1554,6-1,Brad Woodson,Southeastern Conference,Tennessee,73
1555,6-4,Devon Baulkman,Southeastern Conference,Tennessee,76
1556,6-7,Justin James,Mountain West Conference,Wyoming,79
1557,5-10,Austin Conway,Mountain West Conference,Wyoming,70
1558,6-5,Alexander Aka Gorski,Mountain West Conference,Wyoming,77
1559,6-9,Alan Herndon,Mountain West Conference,Wyoming,81
1560,6-1,Jeremy Lieberman,Mountain West Conference,Wyoming,73
1561,5-11,Cody Kelley,Mountain West Conference,Wyoming,71
1562,6-4,Sam Averbuck,Mountain West Conference,Wyoming,76
1563,6-2,Josh Adams,Mountain West Conference,Wyoming,74
1564,6-8,Hayden Dalton,Mountain West Conference,Wyoming,80
1565,6-10,Jonathan Barnes,Mountain West Conference,Wyoming,82
1566,6-5,Jason McManamen,Mountain West Conference,Wyoming,77
1567,6-4,Morris Marshall,Mountain West Conference,Wyoming,76
1568,6-8,Andrew Moemeka,Mountain West Conference,Wyoming,80
1569,6-10,Jordan Naughton,Mountain West Conference,Wyoming,82
1570,5-11,Trey Washington III,Mountain West Conference,Wyoming,71
1571,6-4,Dupree McBrayer,Big Ten Conference,Minnesota,76
1572,6-1,Nate Mason,Big Ten Conference,Minnesota,73
1573,6-6,Jordan Murphy,Big Ten Conference,Minnesota,78
1574,6-0,Kevin Dorsey,Big Ten Conference,Minnesota,72
1575,5-10,Darin Haugh,Big Ten Conference,Minnesota,70
1576,6-5,Carlos Morris,Big Ten Conference,Minnesota,77
1577,6-1,Jarvis Johnson,Big Ten Conference,Minnesota,73
1578,6-3,Stephon Sharp,Big Ten Conference,Minnesota,75
1579,6-8,Davonte Fitzgerald,Big Ten Conference,Minnesota,80
1580,6-11,Bakary Konat,Big Ten Conference,Minnesota,83
1581,6-9,Reggie Lynch,Big Ten Conference,Minnesota,81
1582,6-9,Charles Buggs,Big Ten Conference,Minnesota,81
1583,6-9,Joey King,Big Ten Conference,Minnesota,81
1584,6-3,Mike Lukashewich,Big Ten Conference,Minnesota,75
1585,6-6,Ahmad Gilbert,Big Ten Conference,Minnesota,78
1586,6-9,Gaston Diedhiou,Big Ten Conference,Minnesota,81
1587,6-7,D.J. Williams,Big Ten Conference,Illinois,79
1588,6-3,Jaylon Tate,Big Ten Conference,Illinois,75
1589,6-3,Jalen Coleman-Lands,Big Ten Conference,Illinois,75
1590,6-1,Mike LaTulip,Big Ten Conference,Illinois,73
1591,6-7,Leron Black,Big Ten Conference,Illinois,79
1592,6-2,Tracy Abrams,Big Ten Conference,Illinois,74
1593,6-6,Malcolm Hill,Big Ten Conference,Illinois,78
1594,6-10,Maverick Morgan,Big Ten Conference,Illinois,82
1595,6-5,Aaron Jordan,Big Ten Conference,Illinois,77
1596,6-3,Kendrick Nunn,Big Ten Conference,Illinois,75
1597,6-11,Mike Thorne Jr.,Big Ten Conference,Illinois,83
1598,6-10,Michael Finke,Big Ten Conference,Illinois,82
1599,6-4,Alex Austin,Big Ten Conference,Illinois,76
1600,6-6,Cameron Liss,Big Ten Conference,Illinois,78
1601,6-3,Dominic Artis,Conference USA,UTEP,75
1602,6-2,Omega Harris,Conference USA,UTEP,74
1603,5-10,Aaron Jones,Conference USA,UTEP,70
1604,6-10,Brodricks Jones,Conference USA,UTEP,82
1605,6-4,Lee Moore,Conference USA,UTEP,76
1606,6-8,Paul Thomas,Conference USA,UTEP,80
1607,6-7,Jake Flaggert,Conference USA,UTEP,79
1608,6-7,Terry Winn,Conference USA,UTEP,79
1609,6-1,Victor Mbachu,Conference USA,UTEP,73
1610,6-3,Tevin Caldwell,Conference USA,UTEP,75
1611,6-4,Earvin Morris,Conference USA,UTEP,76
1612,6-2,Trey Touchet,Conference USA,UTEP,74
1613,6-11,Hooper Vint,Conference USA,UTEP,83
1614,5-11,Tedric Johnson,Conference USA,UTEP,71
1615,6-7,Josh McSwiggan,Conference USA,UTEP,79
1616,6-8,Ivan Vinegas,Conference USA,UTEP,80
1617,6-9,Christian Romine,Conference USA,UTEP,81
1618,7-1,Matt Willms,Conference USA,UTEP,85
1619,6-9,C.J. Turman,Conference USA,FAU,81
1620,6-6,Jeantal Cylla,Conference USA,FAU,78
1621,5-10,Marquan Botley,Conference USA,FAU,70
1622,6-3,Adonis Filer,Conference USA,FAU,75
1623,6-3,Lens Lubin,Conference USA,FAU,75
1624,6-9,Javier Lacunza,Conference USA,FAU,81
1625,6-3,Nick Rutherford,Conference USA,FAU,75
1626,6-4,Frank Booker,Conference USA,FAU,76
1627,6-4,Jackson Trapp,Conference USA,FAU,76
1628,6-0,Solomon Poole,Conference USA,FAU,72
1629,6-8,Jesse Hill,Conference USA,FAU,80
1630,6-9,Connor Shorten,Conference USA,FAU,81
1631,7-0,Ronald Delph,Conference USA,FAU,84
1632,6-9,Matthew Reed,Conference USA,FAU,81
1633,6-3,Kendal Yancy,Big 12 Conference,Texas,75
1634,6-1,Isaiah Taylor,Big 12 Conference,Texas,73
1635,5-11,Javan Felix,Big 12 Conference,Texas,71
1636,6-9,Danny Newsome,Big 12 Conference,Texas,81
1637,6-9,Jonathan Holmes,Big 12 Conference,Texas,81
1638,6-9,Connor Lammert,Big 12 Conference,Texas,81
1639,6-4,Brandon Allums,Big 12 Conference,Texas,76
1640,6-3,Joe Schwartz,Big 12 Conference,Texas,75
1641,6-5,Ryan McClurg,Big 12 Conference,Texas,77
1642,6-9,Shaquille Cleare,Big 12 Conference,Texas,81
1643,6-6,Jordan Barnett,Big 12 Conference,Texas,78
1644,6-2,Tarale Murry,Big 12 Conference,Texas,74
1645,6-10,Prince Ibeh,Big 12 Conference,Texas,82
1646,6-9,Cameron Ridley,Big 12 Conference,Texas,81
1647,6-2,Demarcus Holland,Big 12 Conference,Texas,74
1648,6-7,Jonathan Holton,Big 12 Conference,West Virginia,79
1649,6-2,Jevon Carter,Big 12 Conference,West Virginia,74
1650,6-0,James Bolden,Big 12 Conference,West Virginia,72
1651,6-3,Daxter Miles Jr.,Big 12 Conference,West Virginia,75
1652,6-2,Jaysean Paige,Big 12 Conference,West Virginia,74
1653,6-9,Nathan Adrian,Big 12 Conference,West Virginia,81
1654,6-3,Tarik Phillip,Big 12 Conference,West Virginia,75
1655,5-11,James Long,Big 12 Conference,West Virginia,71
1656,6-8,Lamont West,Big 12 Conference,West Virginia,80
1657,6-9,Brandon Watkins,Big 12 Conference,West Virginia,81
1658,6-0,Richard Romeo,Big 12 Conference,West Virginia,72
1659,6-9,Devin Williams,Big 12 Conference,West Virginia,81
1660,6-9,Elijah Macon,Big 12 Conference,West Virginia,81
1661,6-7,TyQuane Goard,Big 12 Conference,West Virginia,79
1662,6-7,Jeff Garrett,Horizon League,N Kentucky,79
1663,6-6,Jordan Garnett,Horizon League,N Kentucky,78
1664,6-3,Tyler White,Horizon League,N Kentucky,75
1665,6-6,Deontae Cole,Horizon League,N Kentucky,78
1666,6-7,Brennan Gillis,Horizon League,N Kentucky,79
1667,6-7,Jake Giesler,Horizon League,N Kentucky,79
1668,6-6,Jalen Billups,Horizon League,N Kentucky,78
1669,6-2,Matt Rosenwinkel,Horizon League,N Kentucky,74
1670,5-9,Todd Johnson,Horizon League,N Kentucky,69
1671,6-7,Cole Murray,Horizon League,N Kentucky,79
1672,6-7,Jared Bryant,Horizon League,N Kentucky,79
1673,5-11,Dean Danos,Horizon League,N Kentucky,71
1674,6-3,Geovonie McKnight,Mid-American - East,Miami (OH),75
1675,6-2,Zach McCormick,Mid-American - East,Miami (OH),74
1676,6-7,Rod Mills,Mid-American - East,Miami (OH),79
1677,6-9,Logan McLane,Mid-American - East,Miami (OH),81
1678,6-10,LJ Livingston,Mid-American - East,Miami (OH),82
1679,6-4,Jake Wright,Mid-American - East,Miami (OH),76
1680,6-9,Jere Vucica,Mid-American - East,Miami (OH),81
1681,6-0,Ali Barnes,Mid-American - East,Miami (OH),72
1682,5-10,Tre Hawkins,Mid-American - East,Miami (OH),70
1683,6-6,Dion Wade,Mid-American - East,Miami (OH),78
1684,6-7,Kalif Wright,Mid-American - East,Miami (OH),79
1685,6-3,Willie Moore,Mid-American - East,Miami (OH),75
1686,6-8,Chris Bryant,Mid-American - East,Miami (OH),80
1687,6-3,Jake Bischoff,Mid-American - East,Miami (OH),75
1688,6-5,Abdoulaye Harouna,Mid-American - East,Miami (OH),77
1689,5-10,Eric Washington,Mid-American - East,Miami (OH),70
1690,6-6,Brian Oddo,Mid-American - East,Miami (OH),78
1691,6-1,Everett Clemons,Missouri Valley Conference,Indiana State,73
1692,6-6,Khristian Smith,Missouri Valley Conference,Indiana State,78
1693,6-1,Brenton Scott,Missouri Valley Conference,Indiana State,73
1694,6-8,Bronson Kessinger,Missouri Valley Conference,Indiana State,80
1695,6-3,Kalen Alexander,Missouri Valley Conference,Indiana State,75
1696,6-2,Devonte Brown,Missouri Valley Conference,Indiana State,74
1697,6-9,Niels Bunschoten,Missouri Valley Conference,Indiana State,81
1698,6-0,Grant Prusator,Missouri Valley Conference,Indiana State,72
1699,6-6,Brandon Burnett,Missouri Valley Conference,Indiana State,78
1700,6-4,Nick Amor,Missouri Valley Conference,Indiana State,76
1701,6-3,Laquarious Paige,Missouri Valley Conference,Indiana State,75
1702,6-7,Brandon Murphy,Missouri Valley Conference,Indiana State,79
1703,6-9,Emondre Rickman,Missouri Valley Conference,Indiana State,81
1704,6-8,T.J. Bell,Missouri Valley Conference,Indiana State,80
1705,6-6,Matt Van Scyoc,Missouri Valley Conference,Indiana State,78
1706,6-5,E.C. Matthews,Atlantic 10 Conference,URI,77
1707,6-0,Jarvis Garrett,Atlantic 10 Conference,URI,72
1708,6-2,Four McGlynn,Atlantic 10 Conference,URI,74
1709,6-7,Hassan Martin,Atlantic 10 Conference,URI,79
1710,6-4,Stanford Robinson,Atlantic 10 Conference,URI,76
1711,6-8,Ifeanyi Onyekaba,Atlantic 10 Conference,URI,80
1712,6-2,Jonathan Nazarko,Atlantic 10 Conference,URI,74
1713,6-3,Rory Temkin,Atlantic 10 Conference,URI,75
1714,6-9,Kuran Iverson,Atlantic 10 Conference,URI,81
1715,6-4,Christion Thompson,Atlantic 10 Conference,URI,76
1716,6-3,Shane Plunkett,Atlantic 10 Conference,URI,75
1717,6-3,Jared Terrell,Atlantic 10 Conference,URI,75
1718,6-7,Earl Watson,Atlantic 10 Conference,URI,79
1719,6-8,Andre Berry,Atlantic 10 Conference,URI,80
1720,6-7,Nicola Akele,Atlantic 10 Conference,URI,79
1721,6-8,Ron Gombe,Metro Atlantic Athletic Conference,Canisius,80
1722,6-1,Malcolm McMillan,Metro Atlantic Athletic Conference,Canisius,73
1723,6-6,Jermaine Crumpton,Metro Atlantic Athletic Conference,Canisius,78
1724,5-10,Raven Owen,Metro Atlantic Athletic Conference,Canisius,70
1725,6-3,Kiefer Douse,Metro Atlantic Athletic Conference,Canisius,75
1726,6-3,Kassius Robertson,Metro Atlantic Athletic Conference,Canisius,75
1727,6-6,Cassidy Ryan,Metro Atlantic Athletic Conference,Canisius,78
1728,6-3,Isaiah Gurley,Metro Atlantic Athletic Conference,Canisius,75
