,player_height,player_name,team_conference,team_name,player_height_in
100,6-4,Erik Durham,Ohio Valley - East,Jacksonville St,76
101,6-4,Jared Hamilton,Ohio Valley - East,Jacksonville St,76
102,6-6,Andre Statam,Ohio Valley - East,Jacksonville St,78
103,6-2,Greg Tucker,Ohio Valley - East,Jacksonville St,74
104,6-6,Malik Ellison,Big East Conference,St John's,78
105,6-9,Amar Alibegovic,Big East Conference,St John's,81
106,6-7,Christian Jones,Big East Conference,St John's,79
107,6-1,Marcus LoVett,Big East Conference,St John's,73
108,6-1,Federico Mussini,Big East Conference,St John's,73
109,6-6,Durand Johnson,Big East Conference,St John's,78
110,6-4,Felix Balamou,Big East Conference,St John's,76
111,6-10,Tariq Owens,Big East Conference,St John's,82
112,6-2,Elijah Holifield,Big East Conference,St John's,74
113,6-7,Kassoum Yakwe,Big East Conference,St John's,79
114,6-6,Ron Mvouika,Big East Conference,St John's,78
115,6-4,Jamal White,Big East Conference,St John's,76
116,7-1,Adonis De La Rosa,Big East Conference,St John's,85
117,6-11,Yankuba Sima,Big East Conference,St John's,83
118,6-8,Darien Williams,Big East Conference,St John's,80
119,5-10,Jaron Martin,Big West Conference,UC Irvine,70
120,6-2,Alex Young,Big West Conference,UC Irvine,74
121,5-10,Max Hazzard,Big West Conference,UC Irvine,70
122,6-1,Haitham Chehabi,Big West Conference,UC Irvine,73
123,6-10,Jonathan Galloway,Big West Conference,UC Irvine,82
124,6-3,Luke Nelson,Big West Conference,UC Irvine,75
125,6-1,Haroldas Saprykinas,Big West Conference,UC Irvine,73
126,7-2,Ioannis Dimakopoulos,Big West Conference,UC Irvine,86
127,6-5,Brandon Smith,Big West Conference,UC Irvine,77
128,6-8,Shawn Ray,Big West Conference,UC Irvine,80
129,6-4,Darrian Traylor,Big West Conference,UC Irvine,76
130,6-4,Dominique Dunning,Big West Conference,UC Irvine,76
131,6-2,Spencer Rivers,Big West Conference,UC Irvine,74
132,6-3,Aaron Wright,Big West Conference,UC Irvine,75
133,6-10,Mike Best,Big West Conference,UC Irvine,82
134,7-6,Mamadou Ndiaye,Big West Conference,UC Irvine,90
135,5-10,John Davis III,Southern Conference,Furman,70
136,6-8,Jalen Williams,Southern Conference,Furman,80
137,6-7,Geoff Beans,Southern Conference,Furman,79
138,6-1,T.K. Hayes,Southern Conference,Furman,73
139,6-4,Andrew Brown,Southern Conference,Furman,76
140,6-6,Gene Langan,Southern Conference,Furman,78
141,5-11,Jonathan Jean,Southern Conference,Furman,71
142,6-2,Devin Sibley,Southern Conference,Furman,74
143,6-0,Stephen Croone,Southern Conference,Furman,72
144,6-8,Isaiah Watkins,Southern Conference,Furman,80
145,6-6,Kris Acox,Southern Conference,Furman,78
146,6-4,Larry Wideman,Southern Conference,Furman,76
147,6-9,Kendrec Ferrara,Southern Conference,Furman,81
148,6-8,Matt Rafferty,Southern Conference,Furman,80
149,6-4,Daniel Fowler,Southern Conference,Furman,76
150,5-11,Malik Maitland,Ohio Valley - East,Morehead State,71
151,6-3,Corban Collins,Ohio Valley - East,Morehead State,75
152,6-8,Ty'Quan Bitting,Ohio Valley - East,Morehead State,80
153,6-3,Miguel Dicent,Ohio Valley - East,Morehead State,75
154,6-8,Anthony Elechi,Ohio Valley - East,Morehead State,80
155,6-7,Lamontray Harris,Ohio Valley - East,Morehead State,79
156,6-2,Jared Ravenscraft,Ohio Valley - East,Morehead State,74
157,6-6,DeJuan Marrero,Ohio Valley - East,Morehead State,78
158,6-5,Wes Noble,Ohio Valley - East,Morehead State,77
159,6-2,Xavier Moon,Ohio Valley - East,Morehead State,74
160,6-5,Treshaad Williams,Ohio Valley - East,Morehead State,77
161,6-5,Ronnye Beamon,Ohio Valley - East,Morehead State,77
162,6-6,Lyonell Gaines,Ohio Valley - East,Morehead State,78
163,6-3,Brent Arrington,Ohio Valley - East,Morehead State,75
164,6-9,Keion Alexander,Ohio Valley - East,Morehead State,81
165,6-1,Gavin Peppers,Ohio Valley - East,Morehead State,73
166,6-4,Trace Cureton,Mountain West Conference,Utah State,76
167,6-1,Darius Perkins,Mountain West Conference,Utah State,73
168,6-2,Shane Rector,Mountain West Conference,Utah State,74
169,6-3,Julion Pearre,Mountain West Conference,Utah State,75
170,6-8,Lew Evans,Mountain West Conference,Utah State,80
171,6-8,David Collette,Mountain West Conference,Utah State,80
172,6-8,Jalen Moore,Mountain West Conference,Utah State,80
173,6-3,Henry Bolton,Mountain West Conference,Utah State,75
174,6-2,Jake Miles,Mountain West Conference,Utah State,74
175,6-7,Quinn Taylor,Mountain West Conference,Utah State,79
176,6-4,John Middleton,Mountain West Conference,Utah State,76
177,6-7,Grayson Moore,Mountain West Conference,Utah State,79
178,6-4,Chris Smith,Mountain West Conference,Utah State,76
179,6-7,Alexis Dargenton,Mountain West Conference,Utah State,79
180,6-9,Elston Jones,Mountain West Conference,Utah State,81
181,6-2,Hakeem Baxter,Conference USA,UAB,74
182,6-2,Denzell Watts,Conference USA,UAB,74
183,5-10,Nick Norton,Conference USA,UAB,70
184,6-8,Chris Cokley,Conference USA,UAB,80
185,6-5,Robert Brown,Conference USA,UAB,77
186,6-0,Jarvis Calhoun,Conference USA,UAB,72
187,6-5,Dirk Williams,Conference USA,UAB,77
188,6-2,Deion Lavender,Conference USA,UAB,74
189,6-9,Tosin Mehinti,Conference USA,UAB,81
190,6-4,Tyler Madison,Conference USA,UAB,76
191,7-0,Thomas Smallwood,Conference USA,UAB,84
192,6-9,William Lee,Conference USA,UAB,81
193,6-7,Lewis Sullivan,Conference USA,UAB,79
194,6-3,Lionel Love,Conference USA,UAB,75
195,6-3,Louis Dabney,American Athletic Conference,Tulane,75
196,6-9,T.J. Oliver,American Athletic Conference,Tulane,81
197,6-3,Kajon Mack,American Athletic Conference,Tulane,75
198,5-11,Riley Conroy,American Athletic Conference,Tulane,71
199,6-7,Cameron Reynolds,American Athletic Conference,Tulane,79
200,6-1,Von Julien,American Athletic Conference,Tulane,73
201,6-4,Kain Harris,American Athletic Conference,Tulane,76
202,6-8,Josh Hearlihy,American Athletic Conference,Tulane,80
203,6-4,Malik Morgan,American Athletic Conference,Tulane,76
204,6-9,Dylan Osetkowski,American Athletic Conference,Tulane,81
205,6-10,Jernard Jarreau,American Athletic Conference,Tulane,82
206,6-9,Blake Paul,American Athletic Conference,Tulane,81
207,6-5,Melvin Frazier,American Athletic Conference,Tulane,77
208,6-6,Kipper Nichols,American Athletic Conference,Tulane,78
209,6-10,Chase Jeter,Atlantic Coast Conference,Duke,82
210,6-5,Grayson Allen,Atlantic Coast Conference,Duke,77
211,6-5,Luke Kennard,Atlantic Coast Conference,Duke,77
212,6-2,Derryck Thornton,Atlantic Coast Conference,Duke,74
213,6-5,Matt Jones,Atlantic Coast Conference,Duke,77
214,6-9,Brandon Ingram,Atlantic Coast Conference,Duke,81
215,6-9,Amile Jefferson,Atlantic Coast Conference,Duke,81
216,7-1,Antonio Vrankovic,Atlantic Coast Conference,Duke,85
217,6-9,Sean Obi,Atlantic Coast Conference,Duke,81
218,7-1,Marshall Plumlee,Atlantic Coast Conference,Duke,85
219,6-3,Nick Pagliuca,Atlantic Coast Conference,Duke,75
220,6-8,Justin Robinson,Atlantic Coast Conference,Duke,80
221,6-5,Brennan Besser,Atlantic Coast Conference,Duke,77
222,6-3,Chase Fischer,West Coast Conference,BYU,75
223,6-1,Jordan Ellis,West Coast Conference,BYU,73
224,6-5,Tyler Haws,West Coast Conference,BYU,77
225,6-6,Kyle Collinsworth,West Coast Conference,BYU,78
226,6-11,Ryan Andrus,West Coast Conference,BYU,83
227,6-7,Josh Sharp,West Coast Conference,BYU,79
228,6-5,Jake Toolson,West Coast Conference,BYU,77
229,6-3,Anson Winder,West Coast Conference,BYU,75
230,6-7,Kyle Davis,West Coast Conference,BYU,79
231,6-1,Skyler Halford,West Coast Conference,BYU,73
232,6-5,Jordan Chatman,West Coast Conference,BYU,77
233,6-7,Dalton Nixon,West Coast Conference,BYU,79
234,6-11,Nate Austin,West Coast Conference,BYU,83
235,6-10,Isaac Neilson,West Coast Conference,BYU,82
236,6-6,Jamal Aytes,West Coast Conference,BYU,78
237,6-10,Luke Worthington,West Coast Conference,BYU,82
238,6-10,Corbin Kaufusi,West Coast Conference,BYU,82
239,6-0,Jalen Avery,Mid-American - East,Kent State,72
240,6-4,Xavier Pollard,Mid-American - East,Kent State,76
241,6-5,Rosel Hurley,Mid-American - East,Kent State,77
242,6-10,Marvin Jones,Mid-American - East,Kent State,82
243,6-8,Chris Ortiz,Mid-American - East,Kent State,80
244,5-11,Kellon Thomas,Mid-American - East,Kent State,71
245,5-9,Jon Fleming,Mid-American - East,Kent State,69
246,6-2,Galal Cancer,Mid-American - East,Kent State,74
247,6-8,Marquiez Lawrence,Mid-American - East,Kent State,80
248,6-9,Khaliq Spicer,Mid-American - East,Kent State,81
249,6-1,Jaylin Walker,Mid-American - East,Kent State,73
250,6-3,Deon Edwin,Mid-American - East,Kent State,75
251,6-8,Raasean Davis,Mid-American - East,Kent State,80
252,6-8,Jimmy Hall,Mid-American - East,Kent State,80
253,6-2,Larry Austin Jr.,Big East Conference,Xavier,74
254,6-10,Jalen Reynolds,Big East Conference,Xavier,82
255,6-10,James Farr,Big East Conference,Xavier,82
256,6-5,Edmond Sumner,Big East Conference,Xavier,77
257,6-6,Trevon Bluiett,Big East Conference,Xavier,78
258,6-4,Remy Abell,Big East Conference,Xavier,76
259,6-10,Makinde London,Big East Conference,Xavier,82
260,6-2,Myles Davis,Big East Conference,Xavier,74
261,6-6,Tim Stainbrook,Big East Conference,Xavier,78
262,6-8,Kaiser Gates,Big East Conference,Xavier,80
263,6-6,Kevin Coker,Big East Conference,Xavier,78
264,6-9,RaShid Gaston,Big East Conference,Xavier,81
265,6-10,Sean O'Mara,Big East Conference,Xavier,82
266,6-5,J.P. Macura,Big East Conference,Xavier,77
267,6-4,Isiah Jones,Ohio Valley - West,SE Missouri St,76
268,6-6,Antonius Cleveland,Ohio Valley - West,SE Missouri St,78
269,6-1,Marcus Wallace,Ohio Valley - West,SE Missouri St,73
270,6-1,Jamaal Calvin,Ohio Valley - West,SE Missouri St,73
271,6-7,Trey Kellum,Ohio Valley - West,SE Missouri St,79
272,6-5,Ladarius Coleman,Ohio Valley - West,SE Missouri St,77
273,6-3,J.T. Jones,Ohio Valley - West,SE Missouri St,75
274,6-9,Tony Anderson II,Ohio Valley - West,SE Missouri St,81
275,6-7,Joel Angus III,Ohio Valley - West,SE Missouri St,79
276,6-7,Xavion Dillon,Ohio Valley - West,SE Missouri St,79
277,6-3,Robby Dosier,Ohio Valley - West,SE Missouri St,75
278,6-2,Eric McGill,Ohio Valley - West,SE Missouri St,74
